DateRange,INVertor Power (MW),SoC
05.10.2024 08:30 - 05.10.2024 08:45,0,0
05.10.2024 08:45 - 05.10.2024 09:00,0,0
05.10.2024 09:00 - 05.10.2024 09:15,25,5.94
05.10.2024 09:15 - 05.10.2024 09:30,25,11.87
05.10.2024 09:30 - 05.10.2024 09:45,25,17.81
05.10.2024 09:45 - 05.10.2024 10:00,25,23.75
05.10.2024 10:00 - 05.10.2024 10:15,25,29.69
05.10.2024 10:15 - 05.10.2024 10:30,25,35.62
05.10.2024 10:30 - 05.10.2024 10:45,25,41.56
05.10.2024 10:45 - 05.10.2024 11:00,25,47.5
05.10.2024 11:00 - 05.10.2024 11:15,0,47.5
05.10.2024 11:15 - 05.10.2024 11:30,0,47.5
05.10.2024 11:30 - 05.10.2024 11:45,0,47.5
05.10.2024 11:45 - 05.10.2024 12:00,0,47.5
05.10.2024 12:00 - 05.10.2024 12:15,25,53.44
05.10.2024 12:15 - 05.10.2024 12:30,25,59.37
05.10.2024 12:30 - 05.10.2024 12:45,25,65.31
05.10.2024 12:45 - 05.10.2024 13:00,25,71.25
05.10.2024 13:00 - 05.10.2024 13:15,25,77.19
05.10.2024 13:15 - 05.10.2024 13:30,25,83.12
05.10.2024 13:30 - 05.10.2024 13:45,25,89.06
05.10.2024 13:45 - 05.10.2024 14:00,25,95
05.10.2024 14:00 - 05.10.2024 14:15,5.26,96.25
05.10.2024 14:15 - 05.10.2024 14:30,5.26,97.5
05.10.2024 14:30 - 05.10.2024 14:45,5.26,98.75
05.10.2024 14:45 - 05.10.2024 15:00,5.26,100
05.10.2024 15:00 - 05.10.2024 15:15,0,100
05.10.2024 15:15 - 05.10.2024 15:30,0,100
05.10.2024 15:30 - 05.10.2024 15:45,0,100
05.10.2024 15:45 - 05.10.2024 16:00,0,100
05.10.2024 16:00 - 05.10.2024 16:15,-23.75,93.75
05.10.2024 16:15 - 05.10.2024 16:30,-23.75,87.5
05.10.2024 16:30 - 05.10.2024 16:45,-23.75,81.25
05.10.2024 16:45 - 05.10.2024 17:00,-23.75,75
05.10.2024 17:00 - 05.10.2024 17:15,-23.75,68.75
05.10.2024 17:15 - 05.10.2024 17:30,-23.75,62.5
05.10.2024 17:30 - 05.10.2024 17:45,-23.75,56.25
05.10.2024 17:45 - 05.10.2024 18:00,-23.75,50
05.10.2024 18:00 - 05.10.2024 18:15,-23.75,43.75
05.10.2024 18:15 - 05.10.2024 18:30,-23.75,37.5
05.10.2024 18:30 - 05.10.2024 18:45,-23.75,31.25
05.10.2024 18:45 - 05.10.2024 19:00,-23.75,25
05.10.2024 19:00 - 05.10.2024 19:15,0,25
05.10.2024 19:15 - 05.10.2024 19:30,0,25
05.10.2024 19:30 - 05.10.2024 19:45,0,25
05.10.2024 19:45 - 05.10.2024 20:00,0,25
05.10.2024 20:00 - 05.10.2024 20:15,-23.75,18.75
05.10.2024 20:15 - 05.10.2024 20:30,-23.75,12.5
05.10.2024 20:30 - 05.10.2024 20:45,-23.75,6.25
05.10.2024 20:45 - 05.10.2024 21:00,-23.75,0
05.10.2024 21:00 - 05.10.2024 21:15,0,0
05.10.2024 21:15 - 05.10.2024 21:30,0,0
05.10.2024 21:30 - 05.10.2024 21:45,0,0
05.10.2024 21:45 - 05.10.2024 22:00,0,0
05.10.2024 22:00 - 05.10.2024 22:15,0,0
05.10.2024 22:15 - 05.10.2024 22:30,0,0
05.10.2024 22:30 - 05.10.2024 22:45,0,0
05.10.2024 22:45 - 05.10.2024 23:00,0,0
05.10.2024 23:00 - 05.10.2024 23:15,0,0
05.10.2024 23:15 - 05.10.2024 23:30,0,0
05.10.2024 23:30 - 05.10.2024 23:45,0,0
05.10.2024 23:45 - 06.10.2024 00:00,0,23.75
06.10.2024 00:00 - 06.10.2024 00:15,25,29.69
06.10.2024 00:15 - 06.10.2024 00:30,25,35.62
06.10.2024 00:30 - 06.10.2024 00:45,25,41.56
06.10.2024 00:45 - 06.10.2024 01:00,25,47.5
06.10.2024 01:00 - 06.10.2024 01:15,0,47.5
06.10.2024 01:15 - 06.10.2024 01:30,0,47.5
06.10.2024 01:30 - 06.10.2024 01:45,0,47.5
06.10.2024 01:45 - 06.10.2024 02:00,0,47.5
06.10.2024 02:00 - 06.10.2024 02:15,25,53.44
06.10.2024 02:15 - 06.10.2024 02:30,25,59.37
06.10.2024 02:30 - 06.10.2024 02:45,25,65.31
06.10.2024 02:45 - 06.10.2024 03:00,25,71.25
06.10.2024 03:00 - 06.10.2024 03:15,3.95,72.19
06.10.2024 03:15 - 06.10.2024 03:30,3.95,73.12
06.10.2024 03:30 - 06.10.2024 03:45,3.95,74.06
06.10.2024 03:45 - 06.10.2024 04:00,3.95,75
06.10.2024 04:00 - 06.10.2024 04:15,0,75
06.10.2024 04:15 - 06.10.2024 04:30,0,75
06.10.2024 04:30 - 06.10.2024 04:45,0,75
06.10.2024 04:45 - 06.10.2024 05:00,0,75
06.10.2024 05:00 - 06.10.2024 05:15,-23.75,68.75
06.10.2024 05:15 - 06.10.2024 05:30,-23.75,62.5
06.10.2024 05:30 - 06.10.2024 05:45,-23.75,56.25
06.10.2024 05:45 - 06.10.2024 06:00,-23.75,50
06.10.2024 06:00 - 06.10.2024 06:15,-23.75,43.75
06.10.2024 06:15 - 06.10.2024 06:30,-23.75,37.5
06.10.2024 06:30 - 06.10.2024 06:45,-23.75,31.25
06.10.2024 06:45 - 06.10.2024 07:00,-23.75,25
06.10.2024 07:00 - 06.10.2024 07:15,-23.75,18.75
06.10.2024 07:15 - 06.10.2024 07:30,-23.75,12.5
06.10.2024 07:30 - 06.10.2024 07:45,-23.75,6.25
06.10.2024 07:45 - 06.10.2024 08:00,-23.75,0
06.10.2024 08:00 - 06.10.2024 08:15,0,0
06.10.2024 08:15 - 06.10.2024 08:30,0,0
06.10.2024 08:30 - 06.10.2024 08:45,0,0
06.10.2024 08:45 - 06.10.2024 09:00,0,0
06.10.2024 09:00 - 06.10.2024 09:15,25,5.94
06.10.2024 09:15 - 06.10.2024 09:30,25,11.87
06.10.2024 09:30 - 06.10.2024 09:45,25,17.81
06.10.2024 09:45 - 06.10.2024 10:00,25,23.75
06.10.2024 10:00 - 06.10.2024 10:15,25,29.69
06.10.2024 10:15 - 06.10.2024 10:30,25,35.62
06.10.2024 10:30 - 06.10.2024 10:45,25,41.56
06.10.2024 10:45 - 06.10.2024 11:00,25,47.5
06.10.2024 11:00 - 06.10.2024 11:15,0,47.5
06.10.2024 11:15 - 06.10.2024 11:30,0,47.5
06.10.2024 11:30 - 06.10.2024 11:45,0,47.5
06.10.2024 11:45 - 06.10.2024 12:00,0,47.5
06.10.2024 12:00 - 06.10.2024 12:15,25,53.44
06.10.2024 12:15 - 06.10.2024 12:30,25,59.37
06.10.2024 12:30 - 06.10.2024 12:45,25,65.31
06.10.2024 12:45 - 06.10.2024 13:00,25,71.25
06.10.2024 13:00 - 06.10.2024 13:15,25,77.19
06.10.2024 13:15 - 06.10.2024 13:30,25,83.12
06.10.2024 13:30 - 06.10.2024 13:45,25,89.06
06.10.2024 13:45 - 06.10.2024 14:00,25,95
06.10.2024 14:00 - 06.10.2024 14:15,5.26,96.25
06.10.2024 14:15 - 06.10.2024 14:30,5.26,97.5
06.10.2024 14:30 - 06.10.2024 14:45,5.26,98.75
06.10.2024 14:45 - 06.10.2024 15:00,5.26,100
06.10.2024 15:00 - 06.10.2024 15:15,0,100
06.10.2024 15:15 - 06.10.2024 15:30,0,100
06.10.2024 15:30 - 06.10.2024 15:45,0,100
06.10.2024 15:45 - 06.10.2024 16:00,0,100
06.10.2024 16:00 - 06.10.2024 16:15,-23.75,93.75
06.10.2024 16:15 - 06.10.2024 16:30,-23.75,87.5
06.10.2024 16:30 - 06.10.2024 16:45,-23.75,81.25
06.10.2024 16:45 - 06.10.2024 17:00,-23.75,75
06.10.2024 17:00 - 06.10.2024 17:15,-23.75,68.75
06.10.2024 17:15 - 06.10.2024 17:30,-23.75,62.5
06.10.2024 17:30 - 06.10.2024 17:45,-23.75,56.25
06.10.2024 17:45 - 06.10.2024 18:00,-23.75,50
06.10.2024 18:00 - 06.10.2024 18:15,-23.75,43.75
06.10.2024 18:15 - 06.10.2024 18:30,-23.75,37.5
06.10.2024 18:30 - 06.10.2024 18:45,-23.75,31.25
06.10.2024 18:45 - 06.10.2024 19:00,-23.75,25
06.10.2024 19:00 - 06.10.2024 19:15,0,25
06.10.2024 19:15 - 06.10.2024 19:30,0,25
06.10.2024 19:30 - 06.10.2024 19:45,0,25
06.10.2024 19:45 - 06.10.2024 20:00,0,25
06.10.2024 20:00 - 06.10.2024 20:15,-23.75,18.75
06.10.2024 20:15 - 06.10.2024 20:30,-23.75,12.5
06.10.2024 20:30 - 06.10.2024 20:45,-23.75,6.25
06.10.2024 20:45 - 06.10.2024 21:00,-23.75,0
06.10.2024 21:00 - 06.10.2024 21:15,0,0
06.10.2024 21:15 - 06.10.2024 21:30,0,0
06.10.2024 21:30 - 06.10.2024 21:45,0,0
06.10.2024 21:45 - 06.10.2024 22:00,0,0
06.10.2024 22:00 - 06.10.2024 22:15,0,0
06.10.2024 22:15 - 06.10.2024 22:30,0,0
06.10.2024 22:30 - 06.10.2024 22:45,0,0
06.10.2024 22:45 - 06.10.2024 23:00,0,0
06.10.2024 23:00 - 06.10.2024 23:15,0,0
06.10.2024 23:15 - 06.10.2024 23:30,0,0
06.10.2024 23:30 - 06.10.2024 23:45,0,0
06.10.2024 23:45 - 07.10.2024 00:00,0,23.75
07.10.2024 00:00 - 07.10.2024 00:15,25,29.69
07.10.2024 00:15 - 07.10.2024 00:30,25,35.62
07.10.2024 00:30 - 07.10.2024 00:45,25,41.56
07.10.2024 00:45 - 07.10.2024 01:00,25,47.5
07.10.2024 01:00 - 07.10.2024 01:15,0,47.5
07.10.2024 01:15 - 07.10.2024 01:30,0,47.5
07.10.2024 01:30 - 07.10.2024 01:45,0,47.5
07.10.2024 01:45 - 07.10.2024 02:00,0,47.5
07.10.2024 02:00 - 07.10.2024 02:15,25,53.44
07.10.2024 02:15 - 07.10.2024 02:30,25,59.37
07.10.2024 02:30 - 07.10.2024 02:45,25,65.31
07.10.2024 02:45 - 07.10.2024 03:00,25,71.25
07.10.2024 03:00 - 07.10.2024 03:15,3.95,72.19
07.10.2024 03:15 - 07.10.2024 03:30,3.95,73.12
07.10.2024 03:30 - 07.10.2024 03:45,3.95,74.06
07.10.2024 03:45 - 07.10.2024 04:00,3.95,75
07.10.2024 04:00 - 07.10.2024 04:15,0,75
07.10.2024 04:15 - 07.10.2024 04:30,0,75
07.10.2024 04:30 - 07.10.2024 04:45,0,75
07.10.2024 04:45 - 07.10.2024 05:00,0,75
07.10.2024 05:00 - 07.10.2024 05:15,-23.75,68.75
07.10.2024 05:15 - 07.10.2024 05:30,-23.75,62.5
07.10.2024 05:30 - 07.10.2024 05:45,-23.75,56.25
07.10.2024 05:45 - 07.10.2024 06:00,-23.75,50
07.10.2024 06:00 - 07.10.2024 06:15,-23.75,43.75
07.10.2024 06:15 - 07.10.2024 06:30,-23.75,37.5
07.10.2024 06:30 - 07.10.2024 06:45,-23.75,31.25
07.10.2024 06:45 - 07.10.2024 07:00,-23.75,25
07.10.2024 07:00 - 07.10.2024 07:15,-23.75,18.75
07.10.2024 07:15 - 07.10.2024 07:30,-23.75,12.5
07.10.2024 07:30 - 07.10.2024 07:45,-23.75,6.25
07.10.2024 07:45 - 07.10.2024 08:00,-23.75,0
07.10.2024 08:00 - 07.10.2024 08:15,0,0
07.10.2024 08:15 - 07.10.2024 08:30,0,0
07.10.2024 08:30 - 07.10.2024 08:45,0,0
07.10.2024 08:45 - 07.10.2024 09:00,0,0
07.10.2024 09:00 - 07.10.2024 09:15,25,5.94
07.10.2024 09:15 - 07.10.2024 09:30,25,11.87
07.10.2024 09:30 - 07.10.2024 09:45,25,17.81
07.10.2024 09:45 - 07.10.2024 10:00,25,23.75
07.10.2024 10:00 - 07.10.2024 10:15,25,29.69
07.10.2024 10:15 - 07.10.2024 10:30,25,35.62
07.10.2024 10:30 - 07.10.2024 10:45,25,41.56
07.10.2024 10:45 - 07.10.2024 11:00,25,47.5
07.10.2024 11:00 - 07.10.2024 11:15,0,47.5
07.10.2024 11:15 - 07.10.2024 11:30,0,47.5
07.10.2024 11:30 - 07.10.2024 11:45,0,47.5
07.10.2024 11:45 - 07.10.2024 12:00,0,47.5
07.10.2024 12:00 - 07.10.2024 12:15,25,53.44
07.10.2024 12:15 - 07.10.2024 12:30,25,59.37
07.10.2024 12:30 - 07.10.2024 12:45,25,65.31
07.10.2024 12:45 - 07.10.2024 13:00,25,71.25
07.10.2024 13:00 - 07.10.2024 13:15,25,77.19
07.10.2024 13:15 - 07.10.2024 13:30,25,83.12
07.10.2024 13:30 - 07.10.2024 13:45,25,89.06
07.10.2024 13:45 - 07.10.2024 14:00,25,95
07.10.2024 14:00 - 07.10.2024 14:15,5.26,96.25
07.10.2024 14:15 - 07.10.2024 14:30,5.26,97.5
07.10.2024 14:30 - 07.10.2024 14:45,5.26,98.75
07.10.2024 14:45 - 07.10.2024 15:00,5.26,100
07.10.2024 15:00 - 07.10.2024 15:15,0,100
07.10.2024 15:15 - 07.10.2024 15:30,0,100
07.10.2024 15:30 - 07.10.2024 15:45,0,100
07.10.2024 15:45 - 07.10.2024 16:00,0,100
07.10.2024 16:00 - 07.10.2024 16:15,-23.75,93.75
07.10.2024 16:15 - 07.10.2024 16:30,-23.75,87.5
07.10.2024 16:30 - 07.10.2024 16:45,-23.75,81.25
07.10.2024 16:45 - 07.10.2024 17:00,-23.75,75
07.10.2024 17:00 - 07.10.2024 17:15,-23.75,68.75
07.10.2024 17:15 - 07.10.2024 17:30,-23.75,62.5
07.10.2024 17:30 - 07.10.2024 17:45,-23.75,56.25
07.10.2024 17:45 - 07.10.2024 18:00,-23.75,50
07.10.2024 18:00 - 07.10.2024 18:15,-23.75,43.75
