DateRange,INVertor Power (MW),SoC
03.01.2024 05:45 - 03.01.2024 06:00,5.26,100.00
03.01.2024 06:00 - 03.01.2024 06:15,0.00,100.00
03.01.2024 06:15 - 03.01.2024 06:30,0.00,100.00
03.01.2024 06:30 - 03.01.2024 06:45,0.00,100.00
03.01.2024 06:45 - 03.01.2024 07:00,0.00,100.00
03.01.2024 07:00 - 03.01.2024 07:15,0.00,100.00
03.01.2024 07:15 - 03.01.2024 07:30,0.00,100.00
03.01.2024 07:30 - 03.01.2024 07:45,0.00,100.00
03.01.2024 07:45 - 03.01.2024 08:00,0.00,100.00
03.01.2024 08:00 - 03.01.2024 08:15,0.00,100.00
03.01.2024 08:15 - 03.01.2024 08:30,0.00,100.00
03.01.2024 08:30 - 03.01.2024 08:45,0.00,100.00
03.01.2024 08:45 - 03.01.2024 09:00,0.00,100.00
03.01.2024 09:00 - 03.01.2024 09:15,0.00,100.00
03.01.2024 09:15 - 03.01.2024 09:30,0.00,100.00
03.01.2024 09:30 - 03.01.2024 09:45,0.00,100.00
03.01.2024 09:45 - 03.01.2024 10:00,0.00,100.00
03.01.2024 10:00 - 03.01.2024 10:15,0.00,100.00
03.01.2024 10:15 - 03.01.2024 10:30,0.00,100.00
03.01.2024 10:30 - 03.01.2024 10:45,0.00,100.00
03.01.2024 10:45 - 03.01.2024 11:00,0.00,100.00
03.01.2024 11:00 - 03.01.2024 11:15,0.00,100.00
03.01.2024 11:15 - 03.01.2024 11:30,0.00,100.00
03.01.2024 11:30 - 03.01.2024 11:45,0.00,100.00
03.01.2024 11:45 - 03.01.2024 12:00,0.00,100.00
03.01.2024 12:00 - 03.01.2024 12:15,-23.75,93.75
03.01.2024 12:15 - 03.01.2024 12:30,-23.75,87.50
03.01.2024 12:30 - 03.01.2024 12:45,-23.75,81.25
03.01.2024 12:45 - 03.01.2024 13:00,-23.75,75.00
03.01.2024 13:00 - 03.01.2024 13:15,0.00,75.00
03.01.2024 13:15 - 03.01.2024 13:30,0.00,75.00
03.01.2024 13:30 - 03.01.2024 13:45,0.00,75.00
